Ruta,Método HTTP,Descripción,Rol Recomendado
/solicitudes/{id}/enviar,POST,Enviar solicitud de compra,compras|administrador
/solicitudes/{id},GET,Obtener solicitud por ID,compras|administrador
/solicitudes,GET,Obtener todas las solicitudes,compras|administrador
/solicitudes/{id}/detalles,GET,Obtener detalles de una solicitud,compras|administrador
/sucursales,POST,Crear una sucursal,administrador
/sucursales/{id},GET,Obtener sucursal por ID,vendedor|caja|compras|administrador
/sucursales/{id},PUT,Actualizar una sucursal,administrador
/sucursales,GET,Obtener todas las sucursales,vendedor|caja|compras|administrador
/sucursales/{id}/solicitudes,GET,Obtener solicitudes de una sucursal,compras|administrador
/sucursales/{id}/ventas,GET,Obtener ventas de una sucursal,caja|administrador
/sucursales/{id}/ventas,POST,Crear venta en una sucursal,vendedor
/sucursales/{id},DELETE,Eliminar una sucursal,administrador
/photos/upload,POST,Subir una foto,vendedor|compras|administrador
/photos/download,GET,Descargar una foto,vendedor|caja|compras|administrador
